canonicalName,aliases,sourcePath,componentType,serviceDomainPlane,capabilityDescription,backendApiContractStatus,frontendSurfaceExpected,currentFrontendRouteComponent,mobileSurfaceExpected,currentMobileScreenComponent,apiClientHook,workflowEventDependency,databaseMigrationDependency,trustSecurityDependency,relatedServices,currentCompletenessStatus,currentBlocker,recommendedClassification
"ai-model-registry-service:ModelVersionController","/internal/v1/ai-registry/models/{modelId}/versions","services/ai-model-registry-service/src/main/java/zw/gov/mohcc/impilo/air/api/ModelVersionController.java","backend-controller","data/intelligence","REST controller for ai-model-registry-service","contracts/openapi/ai-model-registry.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","ai-model-registry-service","implemented-or-partial","","data-analytics-ai-service"
"analytics-pipeline-service","Analytics Pipeline","services/analytics-pipeline-service","backend-service","integration/platform-ops","Analytics Pipeline canonical records","contract: contracts/openapi/analytics-pipeline.openapi.yaml; status=partial","partial","","unknown","","","tshepo-authz-service","1 migration(s) in analytics-pipeline-service","TSHEPO ext_authz via Envoy","tshepo-authz-service; experience-bff; integration-hub","production=baseline-assessed; impl=implemented-or-partial; frontend=unknown-or-partial","","data-analytics-ai-service"
"analytics-pipeline-service:TelemedicineAnalyticsController","/internal/v1/telemedicine","services/analytics-pipeline-service/src/main/java/zw/gov/mohcc/impilo/analyticspipeline/api/TelemedicineAnalyticsController.java","backend-controller","integration/platform-ops","REST controller for analytics-pipeline-service","contracts/openapi/analytics-pipeline.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","analytics-pipeline-service","implemented-or-partial","","data-analytics-ai-service"
"asset-registry-service","Asset Registry","services/asset-registry-service","backend-service","integration/platform-ops","Asset Registry canonical records","contract: contracts/openapi/asset-registry.openapi.yaml; status=partial","partial","","unknown","","","tshepo-authz-service","7 migration(s) in asset-registry-service","TSHEPO ext_authz via Envoy","tshepo-authz-service; experience-bff; integration-hub","production=baseline-assessed; impl=implemented-or-partial; frontend=unknown-or-partial","","registry-service"
"asset-registry-service:AssetController","/v1","services/asset-registry-service/src/main/java/zw/gov/mohcc/impilo/assetregistry/api/AssetController.java","backend-controller","integration/platform-ops","REST controller for asset-registry-service","contracts/openapi/asset-registry.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","asset-registry-service","implemented-or-partial","","registry-service"
"asset-registry-service:EquipmentOperationsController","/internal/v1/equipment","services/asset-registry-service/src/main/java/zw/gov/mohcc/impilo/assetregistry/api/EquipmentOperationsController.java","backend-controller","integration/platform-ops","REST controller for asset-registry-service","contracts/openapi/asset-registry.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","asset-registry-service","implemented-or-partial","","registry-service"
"asset-registry-service:FixedAssetController","/internal/v1/fixed-assets","services/asset-registry-service/src/main/java/zw/gov/mohcc/impilo/assetregistry/api/FixedAssetController.java","backend-controller","integration/platform-ops","REST controller for asset-registry-service","contracts/openapi/asset-registry.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","asset-registry-service","implemented-or-partial","","registry-service"
"asset-registry-service:InternalHealthController","/v1","services/asset-registry-service/src/main/java/zw/gov/mohcc/impilo/assetregistry/api/InternalHealthController.java","backend-controller","integration/platform-ops","REST controller for asset-registry-service","contracts/openapi/asset-registry.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","asset-registry-service","implemented-or-partial","","registry-service"
"asset-registry-service:SnapshotController","/internal/v1/snapshots","services/asset-registry-service/src/main/java/zw/gov/mohcc/impilo/assetregistry/api/SnapshotController.java","backend-controller","integration/platform-ops","REST controller for asset-registry-service","contracts/openapi/asset-registry.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","asset-registry-service","implemented-or-partial","","registry-service"
"audit-ledger-service","Audit Ledger","services/audit-ledger-service","backend-service","integration/platform-ops","Audit Ledger canonical records","contract: contracts/openapi/audit-ledger.openapi.yaml; status=partial","partial","","unknown","","","tshepo-authz-service","2 migration(s) in audit-ledger-service","TSHEPO ext_authz via Envoy","tshepo-authz-service; experience-bff; integration-hub","production=baseline-assessed; impl=implemented-or-partial; frontend=unknown-or-partial","","trust-security-service"
"audit-ledger-service:AuditLedgerController","/v1","services/audit-ledger-service/src/main/java/zw/gov/mohcc/impilo/auditledger/api/AuditLedgerController.java","backend-controller","integration/platform-ops","REST controller for audit-ledger-service","contracts/openapi/audit-ledger.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","audit-ledger-service","implemented-or-partial","","trust-security-service"
"booking-service","Booking","services/booking-service","backend-service","experience/workflow-orchestration","Booking canonical records","contract: contracts/openapi/booking.openapi.yaml; status=partial","yes","","unknown","","","tshepo-authz-service","1 migration(s) in booking-service","TSHEPO ext_authz via Envoy","tshepo-authz-service; experience-bff; integration-hub","production=baseline-assessed; impl=implemented-or-partial; frontend=wired","","backend-capability"
"booking-service:BookingOutboxInternalController","/v1/internal/outbox","services/booking-service/src/main/java/zw/gov/mohcc/impilo/booking/api/BookingOutboxInternalController.java","backend-controller","experience/workflow-orchestration","REST controller for booking-service","contracts/openapi/booking.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","booking-service","implemented-or-partial","","backend-capability"
"booking-service:AppointmentController","/v1/appointments","services/booking-service/src/main/java/zw/gov/mohcc/impilo/booking/api/controller/AppointmentController.java","backend-controller","experience/workflow-orchestration","REST controller for booking-service","contracts/openapi/booking.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","booking-service","implemented-or-partial","","backend-capability"
"booking-service:BookingController","/v1/bookings","services/booking-service/src/main/java/zw/gov/mohcc/impilo/booking/api/controller/BookingController.java","backend-controller","experience/workflow-orchestration","REST controller for booking-service","contracts/openapi/booking.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","booking-service","implemented-or-partial","","backend-capability"
"butano-fhir","BUTANO FHIR","services/butano-fhir","backend-service","clinical/care-delivery","Butano Fhir canonical records","contract: contracts/openapi/butano-fhir.openapi.yaml; status=partial","partial","/ehr/[patientId]/*","partial","","useSummary.ts, useTimeline.ts","tshepo-authz-service","1 migration(s) in butano-fhir","TSHEPO ext_authz via Envoy","tshepo-authz-service; experience-bff; integration-hub","production=baseline-assessed; impl=implemented-or-partial; frontend=unknown-or-partial","Mobile conditions/allergies TODO","clinical-service"
"butano-fhir:ButanoFhirV11ProbeController","/internal/v1","services/butano-fhir/src/main/java/zw/gov/mohcc/impilo/butanofhir/api/ButanoFhirV11ProbeController.java","backend-controller","clinical/care-delivery","REST controller for butano-fhir","contracts/openapi/butano-fhir.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","butano-fhir","implemented-or-partial","","clinical-service"
"butano-fhir:FhirResourceController","/internal/v1/fhir/resources","services/butano-fhir/src/main/java/zw/gov/mohcc/impilo/butanofhir/api/FhirResourceController.java","backend-controller","clinical/care-delivery","REST controller for butano-fhir","contracts/openapi/butano-fhir.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","butano-fhir","implemented-or-partial","","clinical-service"
"butano-service","BUTANO; HAPI SHR","services/butano-service","backend-service","clinical/care-delivery","Butano canonical records","no-matched-openapi; status=partial","partial","/ehr/[patientId]/*","partial","","useSummary.ts, useTimeline.ts","tshepo-authz-service","2 migration(s) in butano-service","TSHEPO ext_authz via Envoy","tshepo-authz-service; experience-bff; integration-hub","production=baseline-assessed; impl=implemented-or-partial; frontend=unknown-or-partial","Mobile conditions/allergies TODO","clinical-service"
"butano-service:IpsSummaryController","/v1/summary","services/butano-service/src/main/java/zw/gov/mohcc/impilo/butano/api/controller/IpsSummaryController.java","backend-controller","clinical/care-delivery","REST controller for butano-service","contract-unmatched","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","butano-service","implemented-or-partial","","clinical-service"
"butano-service:ReconciliationController","/v1/internal","services/butano-service/src/main/java/zw/gov/mohcc/impilo/butano/api/controller/ReconciliationController.java","backend-controller","clinical/care-delivery","REST controller for butano-service","contract-unmatched","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","butano-service","implemented-or-partial","","clinical-service"
"butano-service:StatsController","/v1/internal","services/butano-service/src/main/java/zw/gov/mohcc/impilo/butano/api/controller/StatsController.java","backend-controller","clinical/care-delivery","REST controller for butano-service","contract-unmatched","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","butano-service","implemented-or-partial","","clinical-service"
"butano-service:TimelineController","/v1/timeline","services/butano-service/src/main/java/zw/gov/mohcc/impilo/butano/api/controller/TimelineController.java","backend-controller","clinical/care-delivery","REST controller for butano-service","contract-unmatched","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","butano-service","implemented-or-partial","","clinical-service"
"butano-service:ButanoV11ProbeController","/internal/v1","services/butano-service/src/main/java/zw/gov/mohcc/impilo/butano/api/controller/v11/ButanoV11ProbeController.java","backend-controller","clinical/care-delivery","REST controller for butano-service","contract-unmatched","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","butano-service","implemented-or-partial","","clinical-service"
"campaigns-service","Campaigns","services/campaigns-service","backend-service","data/public-health-campaigns","public-health campaign definitions; campaign outreach plans and schedules; campaign execution state and coverage metrics","contract: contracts/openapi/campaigns.openapi.yaml; status=partial","partial","","unknown","","","tshepo-authz-service","3 migration(s) in campaigns-service","TSHEPO ext_authz via Envoy","tshepo-authz-service; experience-bff; integration-hub","production=baseline-assessed; impl=implemented-or-partial; frontend=unknown-or-partial","","data-analytics-ai-service"
"campaigns-service:CampaignController","/internal/v1/campaigns","services/campaigns-service/src/main/java/zw/gov/mohcc/impilo/campaigns/api/CampaignController.java","backend-controller","data/public-health-campaigns","REST controller for campaigns-service","contracts/openapi/campaigns.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","campaigns-service","implemented-or-partial","","data-analytics-ai-service"
"card-print-agent","Card Print Agent","services/card-print-agent","backend-service","integration/interoperability","Card Print Agent canonical records","no-matched-openapi; status=partial","partial","","unknown","","","tshepo-authz-service","1 migration(s) in card-print-agent","TSHEPO ext_authz via Envoy","tshepo-authz-service; experience-bff; integration-hub","production=baseline-assessed; impl=implemented-or-partial; frontend=unknown-or-partial","","worker-job"
"card-print-agent:HealthController","/api","services/card-print-agent/src/main/java/zw/gov/mohcc/impilo/cardprint/api/HealthController.java","backend-controller","integration/interoperability","REST controller for card-print-agent","contract-unmatched","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","card-print-agent","implemented-or-partial","","worker-job"
"card-print-agent:PrintJobController","/v1/internal/print-jobs","services/card-print-agent/src/main/java/zw/gov/mohcc/impilo/cardprint/api/PrintJobController.java","backend-controller","integration/interoperability","REST controller for card-print-agent","contract-unmatched","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","card-print-agent","implemented-or-partial","","worker-job"
"card-print-agent:CardPrintV11ProbeController","/internal/v1","services/card-print-agent/src/main/java/zw/gov/mohcc/impilo/cardprint/api/v11/CardPrintV11ProbeController.java","backend-controller","integration/interoperability","REST controller for card-print-agent","contract-unmatched","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","card-print-agent","implemented-or-partial","","worker-job"
"channels-service","Channels","services/channels-service","backend-service","integration/interoperability","Channels canonical records","contract: contracts/openapi/channels.openapi.yaml; status=partial","partial","","unknown","","","tshepo-authz-service","1 migration(s) in channels-service","TSHEPO ext_authz via Envoy","tshepo-authz-service; experience-bff; integration-hub","production=baseline-assessed; impl=implemented-or-partial; frontend=unknown-or-partial","","backend-capability"
"channels-service:AssistedInteractionController","/internal/v1/channels/assisted-interactions","services/channels-service/src/main/java/zw/gov/mohcc/impilo/channels/api/AssistedInteractionController.java","backend-controller","integration/interoperability","REST controller for channels-service","contracts/openapi/channels.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","channels-service","implemented-or-partial","","backend-capability"
"channels-service:InboundController","/external/v1/channels/inbound","services/channels-service/src/main/java/zw/gov/mohcc/impilo/channels/api/InboundController.java","backend-controller","integration/interoperability","REST controller for channels-service","contracts/openapi/channels.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","channels-service","implemented-or-partial","","backend-capability"
"channels-service:MessageController","/internal/v1/channels/messages","services/channels-service/src/main/java/zw/gov/mohcc/impilo/channels/api/MessageController.java","backend-controller","integration/interoperability","REST controller for channels-service","contracts/openapi/channels.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","channels-service","implemented-or-partial","","backend-capability"
"channels-service:NotifyOnlyController","/internal/v1/channels/notify-only","services/channels-service/src/main/java/zw/gov/mohcc/impilo/channels/api/NotifyOnlyController.java","backend-controller","integration/interoperability","REST controller for channels-service","contracts/openapi/channels.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","channels-service","implemented-or-partial","","backend-capability"
"channels-service:SessionController","/internal/v1/channels/sessions","services/channels-service/src/main/java/zw/gov/mohcc/impilo/channels/api/SessionController.java","backend-controller","integration/interoperability","REST controller for channels-service","contracts/openapi/channels.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","channels-service","implemented-or-partial","","backend-capability"
"channels-service:SnapshotController","/internal/v1/channels/sessions/snapshot","services/channels-service/src/main/java/zw/gov/mohcc/impilo/channels/api/SnapshotController.java","backend-controller","integration/interoperability","REST controller for channels-service","contracts/openapi/channels.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","channels-service","implemented-or-partial","","backend-capability"
"clinical-knowledge-platform-service","Clinical Knowledge Platform","services/clinical-knowledge-platform-service","backend-service","clinical/clinical-knowledge","Clinical Knowledge Platform canonical records","contract: contracts/openapi/clinical-knowledge-platform.openapi.yaml; status=partial","partial","","unknown","","","tshepo-authz-service","5 migration(s) in clinical-knowledge-platform-service","TSHEPO ext_authz via Envoy","tshepo-authz-service; experience-bff; integration-hub","production=baseline-assessed; impl=implemented-or-partial; frontend=unknown-or-partial","","clinical-service"
"clinical-knowledge-platform-service:ClinicalKnowledgePlatformController","/internal/v1/clinical","services/clinical-knowledge-platform-service/src/main/java/zw/gov/mohcc/impilo/clinical/api/ClinicalKnowledgePlatformController.java","backend-controller","clinical/clinical-knowledge","REST controller for clinical-knowledge-platform-service","contracts/openapi/clinical-knowledge-platform.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","clinical-knowledge-platform-service","implemented-or-partial","","clinical-service"
"clinical-knowledge-platform-service:KnowledgeCurationController","/internal/v1/clinical/curation","services/clinical-knowledge-platform-service/src/main/java/zw/gov/mohcc/impilo/clinical/api/KnowledgeCurationController.java","backend-controller","clinical/clinical-knowledge","REST controller for clinical-knowledge-platform-service","contracts/openapi/clinical-knowledge-platform.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","clinical-knowledge-platform-service","implemented-or-partial","","clinical-service"
"clinical-knowledge-platform-service:SourceIngestionController","/internal/v1/clinical/source","services/clinical-knowledge-platform-service/src/main/java/zw/gov/mohcc/impilo/clinical/api/SourceIngestionController.java","backend-controller","clinical/clinical-knowledge","REST controller for clinical-knowledge-platform-service","contracts/openapi/clinical-knowledge-platform.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","clinical-knowledge-platform-service","implemented-or-partial","","clinical-service"
"community-service","Community","services/community-service","backend-service","experience/workflow-orchestration","Community canonical records","contract: contracts/openapi/community.openapi.yaml; status=partial","yes","","unknown","","","tshepo-authz-service; multiple-domain-services-via-bff","2 migration(s) in community-service","TSHEPO ext_authz via Envoy","tshepo-authz-service; multiple-domain-services-via-bff; web-mobile-experience","production=baseline-assessed; impl=implemented-or-partial; frontend=wired","","backend-capability"
"community-service:ChwAssignmentController","/internal/v1/community/assignments","services/community-service/src/main/java/zw/gov/mohcc/impilo/community/api/controller/ChwAssignmentController.java","backend-controller","experience/workflow-orchestration","REST controller for community-service","contracts/openapi/community.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","community-service","implemented-or-partial","","backend-capability"
"community-service:CommunityUnitController","/internal/v1/community/units","services/community-service/src/main/java/zw/gov/mohcc/impilo/community/api/controller/CommunityUnitController.java","backend-controller","experience/workflow-orchestration","REST controller for community-service","contracts/openapi/community.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","community-service","implemented-or-partial","","backend-capability"
"community-service:CommunityV11ProbeController","/internal/v1","services/community-service/src/main/java/zw/gov/mohcc/impilo/community/api/controller/CommunityV11ProbeController.java","backend-controller","experience/workflow-orchestration","REST controller for community-service","contracts/openapi/community.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","community-service","implemented-or-partial","","backend-capability"
"community-service:OutreachVisitController","/internal/v1/community/visits","services/community-service/src/main/java/zw/gov/mohcc/impilo/community/api/controller/OutreachVisitController.java","backend-controller","experience/workflow-orchestration","REST controller for community-service","contracts/openapi/community.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","community-service","implemented-or-partial","","backend-capability"
"community-service:SocialCommunityController","/internal/v1/community/social","services/community-service/src/main/java/zw/gov/mohcc/impilo/community/social/api/controller/SocialCommunityController.java","backend-controller","experience/workflow-orchestration","REST controller for community-service","contracts/openapi/community.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","community-service","implemented-or-partial","","backend-capability"
"community-service:SocialPostController","/internal/v1/community/social","services/community-service/src/main/java/zw/gov/mohcc/impilo/community/social/api/controller/SocialPostController.java","backend-controller","experience/workflow-orchestration","REST controller for community-service","contracts/openapi/community.openapi.yaml","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","community-service","implemented-or-partial","","backend-capability"
"connector-fhir-adapter","Connector FHIR","services/connector-fhir-adapter","backend-service","integration/interoperability","Connector Fhir Adapter canonical records","no-matched-openapi; status=partial","partial","","unknown","","","tshepo-authz-service","2 migration(s) in connector-fhir-adapter","TSHEPO ext_authz via Envoy","tshepo-authz-service; experience-bff; integration-hub","production=baseline-assessed; impl=implemented-or-partial; frontend=unknown-or-partial","","clinical-service"
"connector-fhir-adapter:FhirRelayController","/v1","services/connector-fhir-adapter/src/main/java/zw/gov/mohcc/impilo/connectorfhir/api/FhirRelayController.java","backend-controller","integration/interoperability","REST controller for connector-fhir-adapter","contract-unmatched","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","connector-fhir-adapter","implemented-or-partial","","clinical-service"
"connector-fhir-adapter:InternalHealthController","/v1","services/connector-fhir-adapter/src/main/java/zw/gov/mohcc/impilo/connectorfhir/api/InternalHealthController.java","backend-controller","integration/interoperability","REST controller for connector-fhir-adapter","contract-unmatched","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","connector-fhir-adapter","implemented-or-partial","","clinical-service"
"costing-engine-service","COSTA","services/costing-engine-service","backend-service","enterprise/finance","Costing Engine canonical records; Emergency-care deferred charges and reconciliation; Care waivers (request/approve/reject/revoke lifecycle)","no-matched-openapi; status=partial","partial","","unknown","","","tshepo-authz-service","22 migration(s) in costing-engine-service","TSHEPO ext_authz via Envoy","tshepo-authz-service; experience-bff; integration-hub","production=baseline-assessed; impl=implemented-or-partial; frontend=unknown-or-partial","","finance-transaction-service"
"costing-engine-service:AuditController","/costa/v1/audit","services/costing-engine-service/src/main/java/zw/gov/mohcc/impilo/costa/api/AuditController.java","backend-controller","enterprise/finance","REST controller for costing-engine-service","contract-unmatched","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","costing-engine-service","implemented-or-partial","","finance-transaction-service"
"costing-engine-service:BillController","/costa/v1/bills","services/costing-engine-service/src/main/java/zw/gov/mohcc/impilo/costa/api/BillController.java","backend-controller","enterprise/finance","REST controller for costing-engine-service","contract-unmatched","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","costing-engine-service","implemented-or-partial","","finance-transaction-service"
"costing-engine-service:BudgetController","/internal/v1/finance/budgets","services/costing-engine-service/src/main/java/zw/gov/mohcc/impilo/costa/api/BudgetController.java","backend-controller","enterprise/finance","REST controller for costing-engine-service","contract-unmatched","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","costing-engine-service","implemented-or-partial","","finance-transaction-service"
"costing-engine-service:BudgetExecutionController","/internal/v1/finance/budgets","services/costing-engine-service/src/main/java/zw/gov/mohcc/impilo/costa/api/BudgetExecutionController.java","backend-controller","enterprise/finance","REST controller for costing-engine-service","contract-unmatched","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","costing-engine-service","implemented-or-partial","","finance-transaction-service"
"costing-engine-service:BudgetGovernanceController","/internal/v1/finance/budgets","services/costing-engine-service/src/main/java/zw/gov/mohcc/impilo/costa/api/BudgetGovernanceController.java","backend-controller","enterprise/finance","REST controller for costing-engine-service","contract-unmatched","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","costing-engine-service","implemented-or-partial","","finance-transaction-service"
"costing-engine-service:BudgetLifecycleController","/internal/v1/finance/budgets","services/costing-engine-service/src/main/java/zw/gov/mohcc/impilo/costa/api/BudgetLifecycleController.java","backend-controller","enterprise/finance","REST controller for costing-engine-service","contract-unmatched","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","costing-engine-service","implemented-or-partial","","finance-transaction-service"
"costing-engine-service:BudgetPeriodCloseController","/internal/v1/finance/budgets","services/costing-engine-service/src/main/java/zw/gov/mohcc/impilo/costa/api/BudgetPeriodCloseController.java","backend-controller","enterprise/finance","REST controller for costing-engine-service","contract-unmatched","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","costing-engine-service","implemented-or-partial","","finance-transaction-service"
"costing-engine-service:ClaimController","/costa/v1/claims","services/costing-engine-service/src/main/java/zw/gov/mohcc/impilo/costa/api/ClaimController.java","backend-controller","enterprise/finance","REST controller for costing-engine-service","contract-unmatched","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","costing-engine-service","implemented-or-partial","","finance-transaction-service"
"costing-engine-service:EstimateController","/costa/v1/estimate","services/costing-engine-service/src/main/java/zw/gov/mohcc/impilo/costa/api/EstimateController.java","backend-controller","enterprise/finance","REST controller for costing-engine-service","contract-unmatched","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","costing-engine-service","implemented-or-partial","","finance-transaction-service"
"costing-engine-service:FacilityBillingController","/internal/v1/finance/facility","services/costing-engine-service/src/main/java/zw/gov/mohcc/impilo/costa/api/FacilityBillingController.java","backend-controller","enterprise/finance","REST controller for costing-engine-service","contract-unmatched","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","costing-engine-service","implemented-or-partial","","finance-transaction-service"
"costing-engine-service:FinancialDocumentController","/costa/v1/finance/documents","services/costing-engine-service/src/main/java/zw/gov/mohcc/impilo/costa/api/FinancialDocumentController.java","backend-controller","enterprise/finance","REST controller for costing-engine-service","contract-unmatched","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","costing-engine-service","implemented-or-partial","","finance-transaction-service"
"costing-engine-service:FinancialReportingController","/internal/v1/finance/reports","services/costing-engine-service/src/main/java/zw/gov/mohcc/impilo/costa/api/FinancialReportingController.java","backend-controller","enterprise/finance","REST controller for costing-engine-service","contract-unmatched","via-bff","","via-bff-mobile","","","","","TSHEPO ext_authz","costing-engine-service","implemented-or-partial","","finance-transaction-service"
